country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_gbp,employee_ni_monthly_gbp,employer_ni_monthly_gbp,employee_pension_monthly_gbp,employer_pension_monthly_gbp,employee_contributions_monthly_gbp,employer_contributions_monthly_gbp,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_gbp,personal_allowance_annual_gbp,annual_taxable_income_gbp,income_tax_monthly_gbp,net_after_income_tax_monthly_gbp,employer_cost_monthly_gbp,social_wedge_monthly_gbp,total_wedge_after_income_tax_monthly_gbp,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_gbp,delta_net_before_income_tax_monthly_gbp,delta_net_after_income_tax_monthly_gbp,delta_employer_cost_monthly_gbp,delta_social_wedge_monthly_gbp,delta_total_wedge_after_income_tax_monthly_gbp,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.62,7476.6756,317.08,1059.0,183.46,110.08,500.54,1169.08,0.06694686606437758,0.1563636116564961,6976.1356,12570.0,74948.66,2092.95,4883.1856,8645.7556,1669.62,3762.57,1.2393330771838782,1.7705154602356297,20.653799999999137,20.243799999999283,10.953800000000228,23.75380000000041,3.509999999999991,12.800000000000182,0.9801489314315104,0.5303527680136675,1.150093445274061,0.1699445138424957,0.6197406772603936
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.63,7497.3294,317.5,1062.1,183.46,110.08,500.96,1172.18,0.06681845938368401,0.15634633847086934,6996.3694,12570.0,75196.46,2102.25,4894.1194,8669.5094,1673.14,3775.39,1.239144033761282,1.7714135458158213,20.653800000000047,20.233799999999974,10.933799999999792,23.75380000000041,3.520000000000209,12.819999999999709,0.979664759027391,0.5293844232054037,1.1500934452740104,0.17042868624660842,0.6207090220685627
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.64,7517.9832,317.91,1065.2,183.46,110.08,501.37,1175.28,0.06668942809023569,0.15632916019285595,7016.6132,12570.0,75444.26,2111.54,4905.0732,8693.2632,1676.65,3788.19,1.2389543148822855,1.7723004011438606,20.653800000000047,20.243800000000192,10.953800000000228,23.75379999999859,3.509999999999991,12.800000000000182,0.9801489314315113,0.5303527680136442,1.1500934452739224,0.1699445138424882,0.6197406772603663
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.65,7538.637,318.32,1068.3,183.46,110.08,501.78,1178.38,0.06656110381757338,0.1563120760423933,7036.857,12570.0,75692.18,2120.84,4916.017,8717.017,1680.16,3801.0,1.2387656875789856,1.773186911273903,20.653800000000047,20.243800000000192,10.94380000000001,23.75380000000041,3.509999999999991,12.809999999999945,0.9801489314315113,0.5298685956095239,1.1500934452740104,0.1699445138424882,0.6202248496644645
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.66,7559.2908,318.74,1071.39,183.46,110.08,502.2,1181.47,0.06643480364586582,0.15629376237252307,7057.0908,12570.0,75939.98,2130.13,4926.9608,8740.7608,1683.67,3813.8,1.2385784805262814,1.7740674535100824,20.653800000000047,20.233799999999974,10.94380000000001,23.743800000000192,3.509999999999991,12.800000000000182,0.979664759027391,0.5298685956095239,1.1496092728698901,0.1699445138424882,0.6197406772603663
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.67,7579.9446,319.15,1074.49,183.46,110.08,502.61,1184.57,0.06630787248761687,0.15627686777552438,7077.3346,12570.0,76187.78,2139.42,4937.9146,8764.5146,1687.18,3826.6,1.2383920070700063,1.7749425233073088,20.653800000000047,20.243800000000192,10.953800000000228,23.75380000000041,3.509999999999991,12.799999999999727,0.9801489314315113,0.5303527680136442,1.1500934452740104,0.1699445138424882,0.6197406772603442
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.68,7600.5984,319.56,1077.59,183.46,110.08,503.02,1187.67,0.06618163117261924,0.15626006499698758,7097.5784,12570.0,76435.7,2148.72,4948.8584,8788.2684,1690.69,3839.41,1.2382065973374807,1.7758173076845356,20.653800000000047,20.243800000000192,10.94380000000001,23.75380000000041,3.509999999999991,12.809999999999945,0.9801489314315113,0.5298685956095239,1.1500934452740104,0.1699445138424882,0.6202248496644645
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.69,7621.2522,319.98,1080.69,183.46,110.08,503.44,1190.77,0.06605738621272762,0.15624335329042122,7117.8122,12570.0,76683.5,2158.01,4959.8022,8812.0222,1694.21,3852.22,1.2380239815824305,1.77668823163956,20.653800000000047,20.233799999999974,10.94380000000001,23.75379999999859,3.519999999999982,12.809999999999945,0.979664759027391,0.5298685956095239,1.1500934452739224,0.17042868624659743,0.6202248496644645
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.7,7641.906,320.39,1083.79,183.46,110.08,503.85,1193.87,0.0659325042731486,0.15622673191740383,7138.056,12570.0,76931.42,2167.31,4970.746,8835.776,1697.72,3865.03,1.2378406669827193,1.777555320670177,20.653800000000047,20.243799999999283,10.94380000000001,23.75380000000041,3.509999999999991,12.8100000000004,0.9801489314314672,0.5298685956095239,1.1500934452740104,0.1699445138424882,0.6202248496644865
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.71,7662.5598,320.8,1086.88,183.46,110.08,504.26,1196.96,0.06580829555157272,0.15620889510056418,7158.2998,12570.0,77179.22,2176.6,4981.6998,8859.5198,1701.22,3877.82,1.237656992237179,1.7784130227999686,20.653800000000047,20.243800000000192,10.953800000000228,23.743800000000192,3.5,12.789999999999964,0.9801489314315113,0.5303527680136442,1.1496092728698901,0.169460341438379,0.6192565048562461
