country,country_code,version,effective_from,prefecture_code,prefecture_name_fr,prefecture_name_en,smic_multiple,gross_monthly_jpy,health_employer_monthly_jpy,health_employee_monthly_jpy,child_support_money_employer_monthly_jpy,child_support_money_employee_monthly_jpy,pension_employer_monthly_jpy,pension_employee_monthly_jpy,child_childcare_contribution_monthly_jpy,employment_insurance_employer_monthly_jpy,employment_insurance_employee_monthly_jpy,workers_accident_insurance_monthly_jpy,iit_annual_jpy,resident_tax_annual_jpy,employee_contributions_monthly_jpy,employer_contributions_monthly_jpy,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_jpy,income_tax_monthly_jpy,net_after_income_tax_monthly_jpy,employer_cost_monthly_jpy,social_wedge_monthly_jpy,total_wedge_after_income_tax_monthly_jpy,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_jpy,delta_net_before_income_tax_monthly_jpy,delta_net_after_income_tax_monthly_jpy,delta_employer_cost_monthly_jpy,delta_social_wedge_monthly_jpy,delta_total_wedge_after_income_tax_monthly_jpy,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.0,212506.6667,10923.0,10923.0,253.0,253.0,20130.0,20130.0,792.0,1806.306667,1062.533334,637.52,14047.81648,93517.76,32368.533333,34541.826667,0.15231773118532474,0.16254467308460208,180138.133366,8963.79804,171174.335327,247048.493367,66910.360001,75874.158041,1.3714391769810201,1.443256624281849,2125.0666670000064,2114.441332999995,1904.5762910000049,2149.504933999997,35.06359999999404,244.92864399999962,0.9949999996870634,0.8962430781942142,1.0115000001550494,0.01649999999740899,0.1152569224314123
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.01,214631.733367,10923.0,10923.0,253.0,253.0,20130.0,20130.0,792.0,1824.369734,1073.158667,643.8952,14898.947401,95185.0096,32379.158667,34566.264934,0.15085913978745022,0.16104918127188328,182252.5747,9173.663083,173078.911617,249197.998301,66945.423601,76119.086684,1.3673222378926144,1.4397941145623991,2125.0666670000064,2114.441334000003,1904.5762899999972,2149.504934000026,35.06360000000859,244.928642999992,0.9950000001576405,0.8962430777236371,1.0115000001550631,0.01649999999741584,0.11525692196083524
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.02,216756.800034,10923.0,10923.0,253.0,253.0,20130.0,20130.0,792.0,1842.4328,1083.784,650.2704,15893.018321,97132.2592,32389.784,34590.7032,0.14942914822090658,0.1595830128280413,184367.016034,9418.773127,174948.242907,251347.503234,66980.487201,76399.260327,1.363299730295958,1.436696356921537,2125.0666670000064,2114.441334000003,1869.331290000002,2149.5049329999893,35.06359999999404,280.1736430000019,0.9950000001576405,0.8796577156983829,1.0114999996844725,0.01649999999740899,0.13184228398609626
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.03,218881.866701,10923.0,10923.0,253.0,253.0,20130.0,20130.0,792.0,1860.495867,1094.409334,656.6456,16744.149242,98799.5088,32400.409334,34615.141467,0.14802692348089777,0.15814531367437099,186481.457367,9628.63817,176852.819197,253497.008168,67015.550801,76644.188971,1.3593684420242405,1.4333783838934788,2125.0666669999773,2114.441332999995,1904.5762899999972,2149.504933999997,35.06360000000859,244.92864399999962,0.994999999687077,0.8962430777236494,1.0115000001550634,0.016499999997416064,0.11525692243141389
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.04,221006.933368,10923.0,10923.0,253.0,253.0,20130.0,20130.0,792.0,1878.558934,1105.034667,663.0208,17738.220163,100746.7584,32411.034667,34639.579734,0.1466516646012738,0.1567352625813482,188595.898701,9873.748214,178722.150488,255646.513102,67050.614401,76924.362614,1.3555253049633769,1.4304131435542957,2125.0666670000064,2114.441334000003,1869.3312910000095,2149.504933999997,35.06359999999404,280.1736430000019,0.9950000001576405,0.87965771616896,1.0115000001550494,0.01649999999740899,0.13184228398609626
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.05,223132.000035,10923.0,10923.0,253.0,253.0,20130.0,20130.0,792.0,1896.622,1115.66,669.396,18589.351084,102414.008,32421.66,34664.018,0.14530260112888072,0.15535206960438297,190710.340035,10083.613257,180626.726778,257796.018035,67085.678001,77169.291258,1.351767387066308,1.4272307461589546,2125.0666670000064,2114.441334000003,1904.5762899999972,2149.5049329999893,35.06359999999404,244.92864399999962,0.9950000001576405,0.8962430777236371,1.0114999996844725,0.01649999999740899,0.1152569224314123
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.06,225257.066702,10923.0,10923.0,253.0,253.0,20130.0,20130.0,792.0,1914.685067,1126.285334,675.7712,19440.482005,104081.2576,32432.285334,34688.456267,0.14397899168426861,0.15399497460811518,192824.781368,10293.4783,182531.303068,259945.522969,67120.741601,77414.219901,1.348091884892713,1.424114760590226,2125.0666670000064,2114.441332999995,1904.5762899999972,2149.504934000026,35.06360000000859,244.92864300000656,0.9949999996870634,0.8962430777236371,1.0115000001550631,0.01649999999741584,0.1152569219608421
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.07,227382.133369,10923.0,10923.0,253.0,253.0,20130.0,20130.0,792.0,1932.748134,1136.910667,682.1464,20434.552925,106028.5072,32442.910667,34712.894534,0.14268012260310722,0.1526632458734599,194939.222702,10538.588344,184400.634358,262095.027903,67155.805201,77694.393544,1.344496116634234,1.4213347411449941,2125.0666669999773,2114.441334000003,1869.331290000002,2149.504933999997,35.06359999999404,280.1736430000019,0.9950000001576541,0.879657715698395,1.0115000001550634,0.016499999997409216,0.13184228398609807
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.08,229507.200036,10923.0,10923.0,253.0,253.0,20130.0,20130.0,792.0,1950.8112,1147.536,688.5216,21285.683846,107695.7568,32453.536,34737.3328,0.14140530665307843,0.15135617878203897,197053.664036,10748.453387,186305.210649,264244.532836,67190.868801,77939.322188,1.3409775155887493,1.4183421489737744,2125.0666670000064,2114.441334000003,1904.5762909999758,2149.5049330000184,35.06360000000859,244.92864399999962,0.9950000001576405,0.8962430781942005,1.011499999684486,0.01649999999741584,0.1152569224314123
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.09,231632.266703,11916.0,11916.0,276.0,276.0,21960.0,21960.0,864.0,1968.874267,1158.161334,694.8968,20393.355167,105947.8064,35310.161334,37679.771067,0.1524405983506169,0.16267064862512304,196322.105369,10528.430131,185793.675239,269312.03777,72989.932401,83518.362531,1.3717866221087527,1.4495220971530682,2125.0666670000064,-731.5586670000048,-511.5354099999822,5067.504933999968,5799.063599999994,5579.040343000001,-0.3442521019977029,-0.24071499400163557,2.3846333918332325,2.728885493360372,2.6253483853643185
