country,country_code,version,effective_from,province_code,province_name_fr,province_name_en,smic_multiple,gross_monthly_rmb,pension_employer_monthly_rmb,pension_employee_monthly_rmb,medical_employer_monthly_rmb,medical_employee_monthly_rmb,unemployment_employer_monthly_rmb,unemployment_employee_monthly_rmb,work_injury_employer_monthly_rmb,hpf_employer_monthly_rmb,hpf_employee_monthly_rmb,employee_contributions_monthly_rmb,employer_contributions_monthly_rmb,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_rmb,income_tax_monthly_rmb,net_after_income_tax_monthly_rmb,employer_cost_monthly_rmb,social_wedge_monthly_rmb,total_wedge_after_income_tax_monthly_rmb,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_rmb,delta_net_before_income_tax_monthly_rmb,delta_net_after_income_tax_monthly_rmb,delta_employer_cost_monthly_rmb,delta_social_wedge_monthly_rmb,delta_total_wedge_after_income_tax_monthly_rmb,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.14,3123.6,689.76,344.88,275.904,86.22,21.555,21.555,8.622,218.652,218.652,671.307,1214.493,0.21491452170572417,0.38881194775259315,2452.293,0.0,2452.293,4338.093,1885.8,1885.8,1.768994569572233,1.768994569572233,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.15,3151.0,689.76,344.88,275.904,86.22,21.555,21.555,8.622,220.57,220.57,673.225,1216.411,0.21365439543002226,0.3860396699460489,2477.775,0.0,2477.775,4367.411,1889.636,1889.636,1.762634218199796,1.762634218199796,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.16,3178.4,689.76,344.88,275.904,86.22,21.555,21.555,8.622,222.488,222.488,675.143,1218.329,0.2124159954694186,0.3833151900327209,2503.257,0.0,2503.257,4396.729,1893.472,1893.472,1.756403357705581,1.756403357705581,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.17,3205.8,689.76,344.88,275.904,86.22,21.555,21.555,8.622,224.406,224.406,677.061,1220.247,0.21119876473891075,0.3806372824256036,2528.739,0.0,2528.739,4426.047,1897.308,1897.308,1.750298073466657,1.750298073466657,27.40000000000009,25.48199999999997,25.48199999999997,29.3179999999993,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.069999999999971,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.18,3233.2,689.76,344.88,275.904,86.22,21.555,21.555,8.622,226.324,226.324,678.979,1222.165,0.21000216503773353,0.37800476308301373,2554.221,0.0,2554.221,4455.365,1901.144,1901.144,1.7443146070758955,1.7443146070758955,27.399999999999636,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9300000000000113,0.9300000000000113,1.0700000000000218,0.14000000000000232,0.14000000000000232
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.19,3260.6,689.76,344.88,275.904,86.22,21.555,21.555,8.622,228.242,228.242,680.897,1224.083,0.20882567625590384,0.37541648776298836,2579.703,0.0,2579.703,4484.683,1904.98,1904.98,1.7384493486265666,1.7384493486265666,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.2,3288.0,689.76,344.88,275.904,86.22,21.555,21.555,8.622,230.16,230.16,682.815,1226.001,0.20766879562043797,0.3728713503649635,2605.185,0.0,2605.185,4514.001,1908.816,1908.816,1.732698829449732,1.732698829449732,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.21,3315.4,689.76,344.88,275.904,86.22,21.555,21.555,8.622,232.078,232.078,684.733,1227.919,0.20653103697894676,0.37036828135368277,2630.667,0.0,2630.667,4543.319,1912.652,1912.652,1.7270597152737308,1.7270597152737308,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.22,3342.8,689.76,344.88,275.904,86.22,21.555,21.555,8.622,233.996,233.996,686.651,1229.837,0.2054119301184636,0.36790624626061985,2656.149,0.0,2656.149,4572.637,1916.488,1916.488,1.7215287997774225,1.7215287997774225,27.40000000000009,25.48199999999997,25.48199999999997,29.3179999999993,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.069999999999971,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.23,3370.2,689.76,344.88,275.904,86.22,21.555,21.555,8.622,235.914,235.914,688.569,1231.755,0.20431102011750044,0.36548424425850096,2681.631,0.0,2681.631,4601.955,1920.324,1920.324,1.7161029985109808,1.7161029985109808,27.399999999999636,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9300000000000113,0.9300000000000113,1.0700000000000218,0.14000000000000232,0.14000000000000232
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.24,3397.6,689.76,344.88,275.904,86.22,21.555,21.555,8.622,237.832,237.832,690.487,1233.673,0.2032278667294561,0.3631013068048034,2707.113,0.0,2707.113,4631.273,1924.16,1924.16,1.7107793431600382,1.7107793431600382,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.25,3425.0,689.76,344.88,275.904,86.22,21.555,21.555,8.622,239.75,239.75,692.405,1235.591,0.20216204379562047,0.36075649635036494,2732.595,0.0,2732.595,4660.591,1927.996,1927.996,1.7055549761307478,1.7055549761307478,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.26,3452.4,689.76,344.88,275.904,86.22,21.555,21.555,8.622,241.668,241.668,694.323,1237.509,0.2011131386861314,0.35844890510948907,2758.077,0.0,2758.077,4689.909,1931.832,1931.832,1.7004271454350257,1.7004271454350257,27.40000000000009,25.482000000000426,25.482000000000426,29.3179999999993,3.8360000000000127,3.8360000000000127,0.9300000000000125,0.9300000000000125,1.069999999999971,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.27,3479.8,689.76,344.88,275.904,86.22,21.555,21.555,8.622,243.586,243.586,696.241,1239.427,0.20008075176734297,0.3561776538881544,2783.559,0.0,2783.559,4719.227,1935.668,1935.668,1.69539319985673,1.69539319985673,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8359999999997854,3.8359999999997854,0.9299999999999958,0.9299999999999958,1.070000000000004,0.13999999999999171,0.13999999999999171
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.28,3507.2,689.76,344.88,275.904,86.22,21.555,21.555,8.622,245.504,245.504,698.159,1241.345,0.1990644958941606,0.3539418909671533,2809.041,0.0,2809.041,4748.545,1939.504,1939.504,1.6904505843809328,1.6904505843809328,27.399999999999636,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9300000000000113,0.9300000000000113,1.0700000000000218,0.14000000000000232,0.14000000000000232
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.29,3534.6,689.76,344.88,275.904,86.22,21.555,21.555,8.622,247.422,247.422,700.077,1243.263,0.1980639959259888,0.3517407910371753,2834.523,0.0,2834.523,4777.863,1943.34,1943.34,1.6855968358697386,1.6855968358697386,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
