country,country_code,module_version,currency,canton_code,canton_name_fr,canton_name_en,reference_municipality,gross_monthly_chf,gross_annual_chf,employee_ahv_iv_eo_monthly_chf,employee_unemployment_monthly_chf,employee_lpp_monthly_chf,employee_accident_monthly_chf,employee_total_contrib_monthly_chf,employer_ahv_iv_eo_monthly_chf,employer_unemployment_monthly_chf,employer_lpp_monthly_chf,employer_accident_monthly_chf,employer_total_contrib_monthly_chf,net_before_tax_monthly_chf,withholding_tax_monthly_chf,withholding_tax_rate_percent,net_after_tax_monthly_chf,ordinary_federal_tax_monthly_chf,ordinary_cantonal_tax_monthly_chf,ordinary_communal_tax_monthly_chf,ordinary_tax_monthly_chf,net_after_ordinary_tax_monthly_chf,employer_cost_monthly_chf,social_wedge_monthly_chf,total_wedge_after_tax_monthly_chf,total_wedge_after_ordinary_tax_monthly_chf,employee_contribution_rate,employer_contribution_rate,social_wedge_rate_employer_cost,cost_to_net_before_tax_ratio,cost_to_net_after_tax_ratio,cost_to_net_after_ordinary_tax_ratio,withholding_tax_status,ordinary_tax_status,profile_id
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,7000.0,84000.0,371.0,77.0,239.75,84.0,771.75,371.0,77.0,239.75,35.0,722.75,6228.25,542.5,7.75,5685.75,135.7,374.46,469.06,979.22,5249.03,7722.75,1494.5,2037.0,2473.72,0.11025,0.10325,0.19351915,1.23995504,1.35826408,1.47127183,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,7100.0,85200.0,376.3,78.1,244.75,85.2,784.35,376.3,78.1,244.75,35.5,734.65,6315.65,558.77,7.87,5756.88,142.3,383.01,479.77,1005.08,5310.57,7834.65,1519.0,2077.77,2524.08,0.11047183,0.10347183,0.1938823,1.24051364,1.36091946,1.47529361,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,7200.0,86400.0,381.6,79.2,249.75,86.4,796.95,381.6,79.2,249.75,36.0,746.55,6403.05,573.84,7.97,5829.21,148.9,391.56,490.48,1030.94,5372.11,7946.55,1543.5,2117.34,2574.44,0.1106875,0.1036875,0.19423523,1.241057,1.36322932,1.47922325,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,7300.0,87600.0,386.9,80.3,254.75,87.6,809.55,386.9,80.3,254.75,36.5,758.45,6490.45,588.38,8.06,5902.07,155.5,400.11,501.19,1056.8,5433.65,8058.45,1568.0,2156.38,2624.8,0.11089726,0.10389726,0.19457836,1.24158571,1.36535995,1.48306387,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,7400.0,88800.0,392.2,81.4,259.75,88.8,822.15,392.2,81.4,259.75,37.0,770.35,6577.85,603.1,8.15,5974.75,162.1,408.66,511.9,1082.66,5495.19,8170.35,1592.5,2195.6,2675.16,0.11110135,0.10410135,0.19491209,1.24210038,1.36747981,1.48681847,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,7500.0,90000.0,397.5,82.5,264.75,90.0,834.75,397.5,82.5,264.75,37.5,782.25,6665.25,618.0,8.24,6047.25,168.7,417.21,522.61,1108.52,5556.73,8282.25,1617.0,2235.0,2725.52,0.1113,0.1043,0.1952368,1.24260155,1.36958948,1.49048991,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,7600.0,91200.0,402.8,83.6,267.75,91.2,845.35,402.8,83.6,267.75,38.0,792.15,6754.65,632.32,8.32,6122.33,175.3,425.76,533.32,1134.38,5620.27,8392.15,1637.5,2269.82,2771.88,0.11123026,0.10423026,0.19512282,1.24242559,1.37074447,1.49319339,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,7700.0,92400.0,408.1,84.7,267.75,92.4,852.95,408.1,84.7,267.75,38.5,799.05,6847.05,646.8,8.4,6200.25,181.9,434.31,544.03,1160.24,5686.81,8499.05,1652.0,2298.8,2812.24,0.11077273,0.10377273,0.19437467,1.24127179,1.37075924,1.49451977,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,7800.0,93600.0,413.4,85.8,267.75,93.6,860.55,413.4,85.8,267.75,39.0,805.95,6939.45,663.0,8.5,6276.45,188.5,442.86,554.74,1186.1,5753.35,8605.95,1666.5,2329.5,2852.6,0.11032692,0.10332692,0.19364509,1.24014871,1.3711493,1.49581548,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,7900.0,94800.0,418.7,86.9,267.75,94.8,868.15,418.7,86.9,267.75,39.5,812.85,7031.85,677.82,8.58,6354.03,195.1,451.41,565.45,1211.96,5819.89,8712.85,1681.0,2358.82,2892.96,0.10989241,0.10289241,0.19293343,1.23905516,1.37123212,1.49708156,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,8000.0,96000.0,424.0,88.0,267.75,96.0,875.75,424.0,88.0,267.75,40.0,819.75,7124.25,692.8,8.66,6431.45,201.7,459.96,576.16,1237.82,5886.43,8819.75,1695.5,2388.3,2933.32,0.10946875,0.10246875,0.19223901,1.23798996,1.37134705,1.49831902,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
