country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_eur,employee_prsi_monthly_eur,employer_prsi_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_eur,income_tax_monthly_eur,usc_monthly_eur,net_after_income_tax_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_income_tax_monthly_eur,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_income_tax_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_income_tax_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.05,2510.9175,105.47,282.49,105.47,282.49,0.04200456606001591,0.11250469200999237,2405.4475,168.85,36.4,2200.1975,2793.4075,387.96,593.21,1.1612839191044493,1.2696167048639952,23.913500000000113,22.87350000000015,17.37350000000015,26.603499999999713,3.7299999999999613,9.230000000000018,0.9565099211742338,0.726514311999501,1.112488761578171,0.15597884040395357,0.3859744495786888
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.06,2534.831,106.47,285.18,106.47,285.18,0.04200280018667911,0.11250454172289986,2428.361,173.63,37.11,2217.621,2820.011,391.65,602.39,1.1612816216369806,1.2716379399365356,23.913500000000113,22.913499999999658,17.423499999999876,26.603500000000167,3.6899999999999977,9.17999999999995,0.9581826165136659,0.7286051811738053,1.1124887615781898,0.1543061450645025,0.3838835804043702
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.07,2558.7445,107.47,287.86,107.47,287.86,0.042001067320320565,0.11250048607823095,2451.2745,178.42,37.83,2235.0245,2846.6045,395.33,611.58,1.1612752876105878,1.2736345843188743,23.913499999999658,22.913500000000113,17.403499999999894,26.59349999999995,3.680000000000007,9.190000000000055,0.9581826165137032,0.7277688335040936,1.1120705877433388,0.15388797122964265,0.384301754239245
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.08,2582.658,108.46,290.55,108.46,290.55,0.04199549456412734,0.11250037751804537,2474.198,183.2,38.55,2252.448,2873.208,399.01,620.76,1.1612684190998457,1.2755934876188042,23.913500000000113,22.923499999999876,17.423499999999876,26.603500000000167,3.680000000000007,9.17999999999995,0.9586007903485382,0.7286051811738053,1.1124887615781898,0.1538879712296397,0.3838835804043702
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.09,2606.5715,109.46,293.24,109.46,293.24,0.04199386051754191,0.11250027094978979,2497.1115,187.98,39.27,2269.8615,2899.8115,402.7,629.95,1.1612663271143477,1.2775279460883406,23.913500000000113,22.913500000000113,17.413500000000113,26.603499999999713,3.6899999999999977,9.190000000000055,0.958182616513685,0.728187007338952,1.112488761578171,0.1543061450645025,0.38430175423923774
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.1,2630.485,110.5,295.92,110.5,295.92,0.04200746250216215,0.11249636473882194,2519.985,192.77,39.98,2287.235,2926.405,406.42,639.17,1.1612787377702645,1.2794509527879732,23.913500000000113,22.87350000000015,17.37350000000015,26.593500000000404,3.7200000000000273,9.219999999999914,0.9565099211742338,0.726514311999501,1.1120705877433366,0.15556066656909318,0.3855562757438213
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.11,2654.3985,111.5,298.61,111.5,298.61,0.04200575007859596,0.11249629624187928,2542.8985,197.55,40.7,2304.6485,2953.0085,410.11,648.36,1.1612765904734303,1.2813270657108882,23.913499999999658,22.913499999999658,17.413499999999658,26.603499999999713,3.6899999999999977,9.190000000000055,0.9581826165136842,0.7281870073389469,1.112488761578192,0.15430614506450543,0.384301754239245
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.12,2678.312,112.49,301.3,112.49,301.3,0.04200033453906788,0.11249622896809632,2565.822,202.33,41.42,2322.072,2979.612,413.79,657.54,1.1612699555931782,1.283169514123593,23.913500000000113,22.92350000000033,17.42350000000033,26.603500000000167,3.680000000000007,9.17999999999995,0.9586007903485572,0.7286051811738243,1.1124887615781898,0.1538879712296397,0.3838835804043702
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.13,2702.2255,113.49,303.98,113.49,303.98,0.041998715503202826,0.11249246223159394,2588.7355,207.11,42.14,2339.4855,3006.2055,417.47,666.72,1.1612640611603617,1.2849857372486386,23.913500000000113,22.913499999999658,17.413499999999658,26.59349999999995,3.680000000000007,9.180000000000064,0.9581826165136659,0.728187007338933,1.1120705877433175,0.1538879712296397,0.3838835804043749
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.14,2726.139,114.49,306.67,114.49,306.67,0.04199712487147574,0.11249242976972196,2611.649,211.9,42.85,2356.899,3032.809,421.16,675.91,1.16126209915651,1.2867793655986106,23.913500000000113,22.913500000000113,17.413500000000113,26.603500000000167,3.6899999999999977,9.18999999999994,0.958182616513685,0.728187007338952,1.1124887615781898,0.1543061450645025,0.38430175423923296
