source,engine,profile_id,profile_label_fr,profile_label_en,dimension_status,dimension_territory,dimension_atmp,rgdu_expression_used,smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio,rgdu_monthly_eur,rgdu_rate_gross,rgdu_rate_employer_cost,employee_csg_crds_monthly_eur,employee_old_age_monthly_eur,employee_retirement_complementary_ceg_cet_monthly_eur,employee_other_monthly_eur,employer_old_age_monthly_eur,employer_retirement_complementary_ceg_cet_monthly_eur,employer_health_monthly_eur,employer_family_monthly_eur,employer_unemployment_monthly_eur,employer_ags_monthly_eur,employer_atmp_monthly_eur,employer_fnal_monthly_eur,employer_csa_monthly_eur,employer_training_monthly_eur,employer_apprenticeship_tax_monthly_eur,employer_social_dialogue_monthly_eur,employer_other_monthly_eur,employer_contributions_before_relief_monthly_eur,api_total_contributions_monthly_eur,api_employer_contributions_monthly_eur,api_employee_contributions_monthly_eur,missing_variables_gross,missing_variables_net,missing_variables_employer_cost,status,error
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.1,2053.72,1573.6,2355.74,480.12,302.02,782.14,0.2338,0.1471,0.332,1.497,603.38,0.2938,0.2561,200.65,149.92,82.35,47.19,218.93,123.43,266.98,107.82,87.28,5.13,20.54,2.05,6.16,11.3,9.04,0.33,46.41,905.4,782.14,302.02,480.12,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.11,2072.39,1588.1,2391.27,484.29,318.88,803.17,0.2337,0.1539,0.3359,1.5057,594.57,0.2869,0.2486,202.46,151.28,83.1,47.44,220.92,124.55,269.41,108.8,88.08,5.18,20.72,2.07,6.22,11.4,9.12,0.33,46.65,913.45,803.17,318.88,484.29,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.12,2091.06,1602.61,2426.64,488.45,335.58,824.03,0.2336,0.1605,0.3396,1.5142,585.92,0.2802,0.2415,204.27,152.65,83.85,47.69,222.91,125.67,271.84,109.78,88.87,5.23,20.91,2.09,6.27,11.5,9.2,0.33,46.89,921.5,824.03,335.58,488.45,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.13,2109.73,1617.11,2461.84,492.62,352.11,844.73,0.2335,0.1669,0.3431,1.5224,577.43,0.2737,0.2346,206.07,154.01,84.6,47.93,224.9,126.79,274.26,110.76,89.66,5.27,21.1,2.11,6.33,11.6,9.28,0.34,47.13,929.55,844.73,352.11,492.62,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.14,2128.4,1631.62,2496.86,496.78,368.46,865.24,0.2334,0.1731,0.3465,1.5303,569.13,0.2674,0.2279,207.88,155.37,85.35,48.18,226.89,127.92,276.69,111.74,90.46,5.32,21.28,2.13,6.39,11.71,9.36,0.34,47.37,937.6,865.24,368.46,496.78,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.15,2147.07,1646.12,2531.69,500.95,384.62,885.56,0.2333,0.1791,0.3498,1.538,561.03,0.2613,0.2216,209.69,156.74,86.1,48.43,228.88,129.04,279.12,112.72,91.25,5.37,21.47,2.15,6.44,11.81,9.45,0.34,47.61,945.64,885.56,384.62,500.95,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.16,2165.74,1660.63,2566.52,505.11,400.78,905.89,0.2332,0.1851,0.353,1.5455,552.91,0.2553,0.2154,211.49,158.1,86.85,48.67,230.87,130.16,281.55,113.7,92.04,5.41,21.66,2.17,6.5,11.91,9.53,0.35,47.85,953.69,905.89,400.78,505.11,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.17,2184.41,1675.13,2601.14,509.28,416.73,926.01,0.2331,0.1908,0.356,1.5528,545.01,0.2495,0.2095,213.3,159.46,87.59,48.92,232.86,131.28,283.97,114.68,92.84,5.46,21.84,2.18,6.55,12.01,9.61,0.35,48.09,961.74,926.01,416.73,509.28,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.18,2203.08,1689.64,2635.54,513.44,432.46,945.9,0.2331,0.1963,0.3589,1.5598,537.33,0.2439,0.2039,215.1,160.82,88.34,49.17,234.85,132.41,286.4,115.66,93.63,5.51,22.03,2.2,6.61,12.12,9.69,0.35,48.33,969.79,945.9,432.46,513.44,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.19,2221.75,1704.14,2669.93,517.61,448.18,965.78,0.233,0.2017,0.3617,1.5667,529.67,0.2384,0.1984,216.91,162.19,89.09,49.42,236.84,133.53,288.83,116.64,94.42,5.55,22.22,2.22,6.67,12.22,9.78,0.36,48.57,977.84,965.78,448.18,517.61,8,26,35,ok,
