country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_sek,arbetsgivaravgifter_monthly_sek,grundavdrag_annual_sek,kommunalskatt_annual_sek,statlig_skatt_annual_sek,jobbskatteavdrag_annual_sek,employee_contributions_monthly_sek,employer_contributions_monthly_sek,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_sek,income_tax_monthly_sek,net_after_income_tax_monthly_sek,employer_cost_monthly_sek,social_wedge_monthly_sek,total_wedge_after_income_tax_monthly_sek,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_sek,delta_net_before_income_tax_monthly_sek,delta_net_after_income_tax_monthly_sek,delta_employer_cost_monthly_sek,delta_social_wedge_monthly_sek,delta_total_wedge_after_income_tax_monthly_sek,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),4.88,168213.6,52852.71,17400.0,611355.36,271632.64,47552.0,0.0,52852.71,0.0,0.31419998145215366,168213.6,69619.67,98593.93,221066.31,52852.71,122472.38,1.3141999814521537,2.242189858949734,344.70000000001164,344.70000000001164,170.4499999999971,453.0,108.29999999999563,282.5500000000029,1.0,0.49448796054537664,1.314186248912053,0.3141862489120742,0.8196982883666765
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),4.89,168558.3,52961.02,17400.0,612619.03,272459.92,47552.0,0.0,52961.02,0.0,0.31420001269590403,168558.3,69793.91,98764.39,221519.32,52961.02,122754.93,1.314200012695904,2.2429067804701677,344.69999999998254,344.69999999998254,170.4600000000064,453.0100000000093,108.30999999999767,282.54999999998836,1.0,0.494516971279417,1.3142152596461627,0.3142152596460782,0.8196982883667034
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),4.9,168903.0,53069.32,17400.0,613882.7,273287.2,47552.0,0.0,53069.32,0.0,0.3141999846065493,168903.0,69968.16,98934.84,221972.32,53069.32,123037.48,1.3141999846065493,2.2436213572488723,344.70000000001164,344.70000000001164,170.4499999999971,453.0,108.30000000000291,282.5500000000029,1.0,0.49448796054537664,1.314186248912053,0.3141862489120953,0.8196982883666765
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),4.91,169247.7,53177.63,17400.0,615146.37,274114.48,47552.0,0.0,53177.63,0.0,0.3142000157166094,169247.7,70142.4,99105.3,222425.33,53177.63,123320.03,1.3142000157166094,2.244333350486805,344.70000000001164,344.70000000001164,170.4600000000064,453.0099999999802,108.30999999999767,282.5500000000029,1.0,0.4945169712793752,1.3142152596459673,0.3142152596460517,0.8196982883666765
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),4.92,169592.4,53285.93,17400.0,616410.04,274941.76,47552.0,0.0,53285.93,0.0,0.31419998773529945,169592.4,70316.65,99275.75,222878.33,53285.93,123602.58,1.3141999877352994,2.245043024102059,344.69999999998254,344.69999999998254,170.4499999999971,453.0,108.30000000000291,282.5500000000029,1.0,0.4944879605454184,1.314186248912164,0.3141862489121218,0.8196982883667456
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),4.93,169937.1,53394.24,17400.0,617673.71,275769.04,47552.0,0.0,53394.24,0.0,0.3142000187128061,169937.1,70490.9,99446.2,223331.34,53394.24,123885.14,1.314200018712806,2.2457503655242737,344.70000000001164,344.70000000001164,170.4499999999971,453.0100000000093,108.30999999999767,282.5599999999977,1.0,0.49448796054537664,1.3142152596460517,0.3142152596460517,0.8197272991006328
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),4.94,170281.8,53502.54,17400.0,618937.38,276596.32,47552.0,0.0,53502.54,0.0,0.3141999908387156,170281.8,70665.14,99616.66,223784.34,53502.54,124167.68,1.3141999908387156,2.246454960445371,344.69999999998254,344.69999999998254,170.4600000000064,453.0,108.30000000000291,282.5399999999936,1.0,0.494516971279417,1.314186248912164,0.3141862489121218,0.8196692776327471
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),4.95,170626.5,53610.85,17400.0,620201.05,277423.6,47552.0,0.0,53610.85,0.0,0.31420002168479105,170626.5,70839.39,99787.11,224237.35,53610.85,124450.24,1.314200021684791,2.247157473545431,344.70000000001164,344.70000000001164,170.4499999999971,453.0100000000093,108.30999999999767,282.5600000000122,1.0,0.49448796054537664,1.3142152596460517,0.3142152596460517,0.819727299100675
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),4.96,170971.2,53719.15,17400.0,621464.72,278250.88,47552.0,0.0,53719.15,0.0,0.3141999939171042,170971.2,71013.63,99957.57,224690.35,53719.15,124732.78,1.314199993917104,2.247857265837895,344.70000000001164,344.70000000001164,170.4600000000064,453.0,108.30000000000291,282.5399999999936,1.0,0.4945169712793752,1.314186248912053,0.3141862489120953,0.8196692776326778
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),4.97,171315.9,53827.46,17400.0,622728.39,279078.16,47552.0,0.0,53827.46,0.0,0.3142000246328566,171315.9,71187.88,100128.02,225143.36,53827.46,125015.34,1.3142000246328567,2.248554999889142,344.69999999998254,344.69999999998254,170.4499999999971,453.0099999999802,108.30999999999767,282.5599999999977,1.0,0.4944879605454184,1.314215259646078,0.3142152596460782,0.819727299100702
